id,observed_on,time_observed_at,quality_grade,place_guess,latitude,longitude,positional_accuracy,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_order_name,taxon_family_name
1637317,13/5/14,2014-05-13 03:00:00 UTC,research,Singapore Zoo,1.404349,103.793023,643,643,,open,FALSE,,google,Lesser Short-nosed Fruit Bat,Cynopterus brachyotis,Lesser Short-nosed Fruit Bat,Mammalia,40793,Chiroptera,Pteropodidae
1638231,15/11/14,2014-11-15 01:36:00 UTC,research,Jelutong Tower,1.351536,103.806397,245,245,,open,FALSE,,manual,Red-tailed Green Ratsnake,Gonyosoma oxycephalum,Red-tailed Green Ratsnake,Reptilia,29992,Squamata,Colubridae
1808448,21/7/15,2015-07-21 08:59:44 UTC,research,"Butterfly Park & Insect Kingdom, Singapore",1.255602,103.817073,58,58,,,FALSE,,,Hemidactylus frenatus,Hemidactylus frenatus,Asian House Gecko,Reptilia,51940,Squamata,Gekkonidae
1863426,15/8/15,2015-08-15 14:06:54 UTC,research,Varsity Park Condo,1.296016682,103.7687904,344,344,,open,FALSE,gps,gps,Common Indian Toad,Duttaphrynus melanostictus,Asian Common Toad,Amphibia,62345,Anura,Bufonidae
1889811,2/4/00,,research,"Sungei Buloh, Singapore",1.447084,103.728861,750,750,,open,FALSE,,,Reticulated Python,Malayopython reticulatus,Reticulated Python,Reptilia,491869,Squamata,Pythonidae
1923969,7/9/15,2015-09-07 07:19:32 UTC,research,"Varsity Park Condo, Singapore",1.296021,103.768809,5,5,,,FALSE,,manual,Eastern Garden Lizard,Calotes versicolor,Changeable Lizard,Reptilia,31281,Squamata,Agamidae
1927296,8/9/15,2015-09-08 14:59:21 UTC,research,"Varsity Park Condo, Singapore",1.296021,103.768809,5,5,,,FALSE,,manual,Eastern Garden Lizard,Calotes versicolor,Changeable Lizard,Reptilia,31281,Squamata,Agamidae
1941470,6/3/00,,research,"Macritchie Reservoir, Singapore",1.347135,103.827583,500,500,,open,FALSE,,,King Cobra,Ophiophagus hannah,King Cobra,Reptilia,30472,Squamata,Elapidae
2099799,11/10/15,,research,Bukit Batok Nature Park,1.350011,103.763828,,,,,FALSE,,,Sunda Flying Lemur,Galeopterus variegatus,Sunda Colugo,Mammalia,74351,Dermoptera,Cynocephalidae
2382389,13/11/15,2015-11-13 07:26:34 UTC,research,"Varsity Park Condo, Singapore",1.295379,103.768049,11,11,,open,FALSE,,manual,Cynopterus brachyotis,Cynopterus brachyotis,Lesser Short-nosed Fruit Bat,Mammalia,40793,Chiroptera,Pteropodidae
